name 	height 	weight
Jackson Andrews 	7’1″ 	340 lbs.
Jacqueline 	5’3″ 	119 lbs.
Jake “The Snake” Roberts 	6’5″ 	253 lbs.
James Ellsworth 	5’9″ 	169 lbs.
James Storm 	6’0″ 	230 lbs.
Jamie Noble 	5’9″ 	202 lbs.
Jason Jordan 	6’3″ 	245 lbs.
Jay Lethal 	5’10” 	215 lbs.
Jazz 	5’4″ 	150 lbs.
Jazzy Gabert 	6’1″ 	190 lbs.
Jeff Cobb 	5’10” 	263 lbs.
Jeff Hardy 	6’2″ 	215 lbs.
Jeff Jarrett 	6’1″ 	235 lbs.
Jerry Lawler 	6’0″ 	243 lbs.
Jerry Lynn 	5’11” 	212 lbs.
Jerry Saggs 	6’3″ 	290 lbs.
Jessamyn Duke 	5’11” 	136 lbs.
Jesse Neal 	6’0″ 	220 lbs.
Jesse Ventura 	6’2″ 	245 lbs.
Jey Uso 	6’2″ 	235 lbs.
Jillian Hall 	5’6″ 	130 lbs.
Jim Duggan 	6’3″ 	280 lbs.
Jim Neidhart 	6’2″ 	281 lbs.
Jimmy Garvin 	5’10” 	235 lbs.
Jimmy Hart 	5’10” 	166 lbs.
Jimmy Havoc 	5’10” 	169 lbs.
Jimmy Uso 	6’2″ 	240 lbs.
Jimmy “Superfly” Snuka 	6’0″ 	250 lbs.
Jinder Mahal 	6’5″ 	240 lbs.
Joey Janela 	5’8″ 	183 lbs.
Joey Mercury 	5’9″ 	191 lbs.
Joey Ryan 	5’10” 	210 lbs.
John Cena 	6’1″ 	251 lbs.
John Morrison (Johnny Impact) 	6’1″ 	224 lbs.
Johnny Curtis 	6’3″ 	240 lbs.
Johnny Gargano 	5’10” 	170 lbs.
Johnny the Bull 	6’0″ 	250 lbs.
JoJo 	5’2″ 	110 lbs.
Jon Heidenreich 	6’7″ 	300 lbs.
Jon Moxley / Dean Ambrose 	6’4″ 	234 lbs.
Jordan Devlin 	5’10” 	180 lbs.
Joseph Conners 	6’1″ 	196 lbs.
JTG 	6’1″ 	230 lbs.
Jungle Boy 	5’10” 	150 lbs.
Junkyard Dog 	6’3″ 	280 lbs.
Justin Credible 	5’11” 	225 lbs.
Justin Gabriel 	6’1″ 	223 lbs.
Justin Roberts 	5’10” 	170 lbs.
Kairi Sane 	5’1″ 	115 lbs.
Kaitlyn 	5’5″ 	135 lbs.
Kalisto 	5’6″ 	170 lbs.
Kamala 	6’7″ 	345 lbs.
Kane 	6’8″ 	324 lbs.
Karl Anderson 	6’0″ 	241 lbs.
Kassius Ohno 	6’4″ 	270 lbs.
Katie Lea 	5’8″ 	140 lbs.
Kazarian 	6’1″ 	215 lbs.
Kazuchika Okada 	6’3″ 	246 lbs.
Keith Lee 	6’2″ 	332 lbs.
Kelly Kelly 	5’5″ 	108 lbs.
Ken Shamrock 	6’0″ 	235 lbs.
Kenny Omega 	6’0″ 	203 lbs.
Kenta Kobayashi 	5’9″ 	182 lbs.
Kevin Nash 	6’11” 	356 lbs.
Kevin Owens (Steen) 	6’0″ 	266 lbs.
Killian Dain 	6’4″ 	322 lbs.
Kimberly Page 	5’10” 	133 lbs.
King Kong Bundy 	6’4″ 	446 lbs.
Kip Sabian 	5’9″ 	168 lbs.
Kofi Kingston 	6’1″ 	221 lbs.
Koko B. Ware 	5’9″ 	229 lbs.
Kongo Kong 	6’7″ 	376 lbs.
Konnan 	5’10” 	237 lbs.
Konnor 	6’4″ 	265 lbs.
Kota Ibushi 	5’11” 	189 lbs.
Kurrgan 	6’11” 	350 lbs.
Kurt Angle 	6’0″ 	240 lbs.
Kyle O’Reilly 	5’11” 	207 lbs.
La Parkita 	4’9″ 	130 lbs.
Lacey Evans 	5’8″ 	130 lbs.
Lana 	5’7″ 	125 lbs.
Lance Cade 	6’5″ 	267 lbs.
Lance Storm 	5’11” 	231 lbs.
Lars Sullivan 	6’3″ 	303 lbs.
Layla El 	5’2″ 	125 lbs.
Leva Bates 	5’2″ 	115 lbs.
Lex Luger 	6’5″ 	265 lbs.
Lince Dorado 	5’7″ 	168 lbs.
Lio Rush 	5’6″ 	161 lbs.
Lita 	5’6″ 	135 lbs.
Little Beaver 	4’4″ 	60 lbs.
Liv Morgan 	5’4″ 	126 lbs.
Loch Ness 	6’11” 	690 lbs.
Louie Spicolli 	5’11” 	258 lbs.
Luchasaurus 	6’5″ 	233 lbs.
Luke Gallows 	6’7″ 	304 lbs.
Luke Harper 	6’5″ 	275 lbs.
Luna Vachon 	5’6″ 	140 lbs.
Mad Dog Vachon 	5’9″ 	231 lbs.
Madusa 	5’10” 	150 lbs.
Mae Young 	5’4″ 	181 lbs.
Magnus 	6’3″ 	240 lbs.
Mandy Rose 	5’4″ 	120 lbs.
